00:24:32:680 CMD DBGM     - ---- Debug Monitor List of the 5900 registered Modules ----------
00:24:32:680 CMD DBGM     -  # Symbol   Release - Module Name                      Filter Ta
00:24:32:681 CMD DBGM     - 134 bu10017  0.00.00 - UpperCnvr.bu10017                000000 off
00:24:32:681 CMD DBGM     - 135 bu10018  0.00.00 - UpperCnvr.bu10018                000000 off
00:24:32:681 CMD DBGM     - 136 pl1006   0.00.00 - UpperCnvr.pl1006                 000000 off
00:24:32:681 CMD DBGM     - 137 bm1006   0.00.00 - UpperCnvr.bm1006                 000000 off
00:24:32:681 CMD DBGM     - 138 bu10019  0.00.00 - UpperCnvr.bu10019                000000 off
00:24:32:681 CMD DBGM     - 139 bu10020  0.00.00 - UpperCnvr.bu10020                000000 off
00:24:32:681 CMD DBGM     - 140 bu10021  0.00.00 - UpperCnvr.bu10021                000000 off
00:24:32:681 CMD DBGM     - 141 pl1007   0.00.00 - UpperCnvr.pl1007                 000000 off
00:24:32:681 CMD DBGM     - 142 bm1007   0.00.00 - UpperCnvr.bm1007                 000000 off
00:24:32:681 CMD DBGM     - 143 bu10022  0.00.00 - UpperCnvr.bu10022                000000 off
00:24:32:681 CMD DBGM     - 144 bu10023  0.00.00 - UpperCnvr.bu10023                000000 off
00:24:32:681 CMD DBGM     - 145 bu10024  0.00.00 - UpperCnvr.bu10024                000000 off
00:24:32:681 CMD DBGM     - 146 pl1008   0.00.00 - UpperCnvr.pl1008                 000000 off
00:24:32:681 CMD DBGM     - 147 bm1008   0.00.00 - UpperCnvr.bm1008                 000000 off
00:24:32:681 CMD DBGM     - 148 bu10025  0.00.00 - UpperCnvr.bu10025                000000 off
00:24:32:681 CMD DBGM     - 149 bu10026  0.00.00 - UpperCnvr.bu10026                000000 off
00:24:32:681 CMD DBGM     - 150 bu10027  0.00.00 - UpperCnvr.bu10027                000000 off
00:24:32:681 CMD DBGM     - 151 pl1009   0.00.00 - UpperCnvr.pl1009                 000000 off
00:24:32:681 CMD DBGM     - 152 bm1009   0.00.00 - UpperCnvr.bm1009                 000000 off
00:24:32:681 CMD DBGM     - 153 bu10028  0.00.00 - UpperCnvr.bu10028                000000 off
00:24:32:681 CMD DBGM     - 154 bu10029  0.00.00 - UpperCnvr.bu10029                000000 off
00:24:32:681 CMD DBGM     - 155 bu10030  0.00.00 - UpperCnvr.bu10030                000000 off
00:24:32:681 CMD DBGM     - 156 pl1010   0.00.00 - UpperCnvr.pl1010                 000000 off
00:24:32:681 CMD DBGM     - 157 bm1010   0.00.00 - UpperCnvr.bm1010                 000000 off
00:24:32:681 CMD DBGM     - 158 bu10031  0.00.00 - UpperCnvr.bu10031                000000 off
00:24:32:681 CMD DBGM     - 159 bu10032  0.00.00 - UpperCnvr.bu10032                000000 off
00:24:32:681 CMD DBGM     - 160 bu10033  0.00.00 - UpperCnvr.bu10033                000000 off
00:24:32:681 CMD DBGM     - 161 pl1011   0.00.00 - UpperCnvr.pl1011                 000000 off
00:24:32:681 CMD DBGM     - 162 bm1011   0.00.00 - UpperCnvr.bm1011                 000000 off
00:24:32:681 CMD DBGM     - 163 bu10034  0.00.00 - UpperCnvr.bu10034                000000 off
00:24:32:681 CMD DBGM     - 164 bu10035  0.00.00 - UpperCnvr.bu10035                000000 off
00:24:32:681 CMD DBGM     - 165 bu10036  0.00.00 - UpperCnvr.bu10036                000000 off
00:24:32:681 CMD DBGM     - 166 pl1012   0.00.00 - UpperCnvr.pl1012                 000000 off
00:24:32:681 CMD DBGM     - 167 bm1012   0.00.00 - UpperCnvr.bm1012                 000000 off
00:24:32:681 CMD DBGM     - 168 bu10037  0.00.00 - UpperCnvr.bu10037                000000 off
00:24:32:681 CMD DBGM     - 169 bu10038  0.00.00 - UpperCnvr.bu10038                000000 off
00:24:32:681 CMD DBGM     - 170 bu10039  0.00.00 - UpperCnvr.bu10039                000000 off
00:24:32:681 CMD DBGM     - 171 pl1013   0.00.00 - UpperCnvr.pl1013                 000000 off
00:24:32:681 CMD DBGM     - 172 bm1013   0.00.00 - UpperCnvr.bm1013                 000000 off
00:24:32:681 CMD DBGM     - 173 bu10040  0.00.00 - UpperCnvr.bu10040                000000 off
00:24:32:681 CMD DBGM     - 174 bu10041  0.00.00 - UpperCnvr.bu10041                000000 off
00:24:32:681 CMD DBGM     - 175 bu10042  0.00.00 - UpperCnvr.bu10042                000000 off
00:24:32:681 CMD DBGM     - 176 pl1014   0.00.00 - UpperCnvr.pl1014                 000000 off
00:24:32:681 CMD DBGM     - 177 bm1014   0.00.00 - UpperCnvr.bm1014                 000000 off
00:24:32:681 CMD DBGM     - 178 bu10043  0.00.00 - UpperCnvr.bu10043                000000 off
00:24:32:681 CMD DBGM     - 179 bu10044  0.00.00 - UpperCnvr.bu10044                000000 off
00:24:32:681 CMD DBGM     - 180 bu10045  0.00.00 - UpperCnvr.bu10045                000000 off
00:24:32:681 CMD DBGM     - 181 pl1015   0.00.00 - UpperCnvr.pl1015                 000000 off
00:24:32:681 CMD DBGM     - 182 bm1015   0.00.00 - UpperCnvr.bm1015                 000000 off
00:24:32:681 CMD DBGM     - 183 bu10046  0.00.00 - UpperCnvr.bu10046                000000 off
00:24:32:681 CMD DBGM     - 184 bu10047  0.00.00 - UpperCnvr.bu10047                000000 off
00:24:32:681 CMD DBGM     - 185 bu10048  0.00.00 - UpperCnvr.bu10048                000000 off
00:24:32:681 CMD DBGM     - 186 pl1016   0.00.00 - UpperCnvr.pl1016                 000000 off
00:24:32:681 CMD DBGM     - 187 bm1016   0.00.00 - UpperCnvr.bm1016                 000000 off
00:24:32:681 CMD DBGM     - 188 bu10049  0.00.00 - UpperCnvr.bu10049                000000 off
00:24:32:681 CMD DBGM     - 189 bu10050  0.00.00 - UpperCnvr.bu10050                000000 off
00:24:32:681 CMD DBGM     - 190 bu10051  0.00.00 - UpperCnvr.bu10051                000000 off
00:24:32:681 CMD DBGM     - 191 pl1017   0.00.00 - UpperCnvr.pl1017                 000000 off
00:24:32:681 CMD DBGM     - 192 bm1017   0.00.00 - UpperCnvr.bm1017                 000000 off
00:24:32:681 CMD DBGM     - 193 bu10052  0.00.00 - UpperCnvr.bu10052                000000 off
00:24:32:681 CMD DBGM     - 194 bu10053  0.00.00 - UpperCnvr.bu10053                000000 off
00:24:32:681 CMD DBGM     - 195 bu10054  0.00.00 - UpperCnvr.bu10054                000000 off
00:24:32:681 CMD DBGM     - 196 pl1018   0.00.00 - UpperCnvr.pl1018                 000000 off
00:24:32:681 CMD DBGM     - 197 bm1018   0.00.00 - UpperCnvr.bm1018                 000000 off
00:24:32:681 CMD DBGM     - 198 bu10055  0.00.00 - UpperCnvr.bu10055                000000 off
00:24:32:681 CMD DBGM     - 199 bu10056  0.00.00 - UpperCnvr.bu10056                000000 off
00:24:32:682 CMD DBGM     - 200 bu10057  0.00.00 - UpperCnvr.bu10057                000000 off
00:24:32:682 CMD DBGM     - 201 pl1019   0.00.00 - UpperCnvr.pl1019                 000000 off
00:24:32:682 CMD DBGM     - 202 bm1019   0.00.00 - UpperCnvr.bm1019                 000000 off
00:24:32:682 CMD DBGM     - 203 bu10058  0.00.00 - UpperCnvr.bu10058                000000 off
00:24:32:682 CMD DBGM     - 204 bu10059  0.00.00 - UpperCnvr.bu10059                000000 off
00:24:32:682 CMD DBGM     - 205 bu10060  0.00.00 - UpperCnvr.bu10060                000000 off
00:24:32:682 CMD DBGM     - 206 pl1020   0.00.00 - UpperCnvr.pl1020                 000000 off
00:24:32:682 CMD DBGM     - 207 bm1020   0.00.00 - UpperCnvr.bm1020                 000000 off
00:24:32:682 CMD DBGM     - 208 bu10061  0.00.00 - UpperCnvr.bu10061                000000 off
00:24:32:683 CMD DBGM     - 209 bu10062  0.00.00 - UpperCnvr.bu10062                000000 off
