03:56:47:102 CMD DBGM     - Commands Sent By Default To Module DBGM
03:56:47:102 CMD DBGM     - 135 DT_UF028 0.00.00 - ETACS_UR.AE_UF028.DT_UF028       000000 off
03:56:47:102 CMD DBGM     - 136 SD_UF028 0.00.00 - ETACS_UR.AE_UF028.SD_UF028       000000 off
03:56:47:102 CMD DBGM     - 137 AE_UF029 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF029       000000 off
03:56:47:102 CMD DBGM     - 138 DT_UF029 0.00.00 - ETACS_UR.AE_UF029.DT_UF029       000000 off
03:56:47:102 CMD DBGM     - 139 SD_UF029 0.00.00 - ETACS_UR.AE_UF029.SD_UF029       000000 off
03:56:47:102 CMD DBGM     - 140 AE_UF030 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF030       000000 off
03:56:47:102 CMD DBGM     - 141 DT_UF030 0.00.00 - ETACS_UR.AE_UF030.DT_UF030       000000 off
03:56:47:102 CMD DBGM     - 142 SD_UF030 0.00.00 - ETACS_UR.AE_UF030.SD_UF030       000000 off
03:56:47:102 CMD DBGM     - 143 AE_UF031 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF031       000000 off
03:56:47:102 CMD DBGM     - 144 DT_UF031 0.00.00 - ETACS_UR.AE_UF031.DT_UF031       000000 off
03:56:47:102 CMD DBGM     - 145 SD_UF031 0.00.00 - ETACS_UR.AE_UF031.SD_UF031       000000 off
03:56:47:102 CMD DBGM     - 146 AE_UF032 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF032       000000 off
03:56:47:102 CMD DBGM     - 147 DT_UF032 0.00.00 - ETACS_UR.AE_UF032.DT_UF032       000000 off
03:56:47:102 CMD DBGM     - 148 SD_UF032 0.00.00 - ETACS_UR.AE_UF032.SD_UF032       000000 off
03:56:47:102 CMD DBGM     - 149 AE_UF033 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF033       000000 off
03:56:47:102 CMD DBGM     - 150 DT_UF033 0.00.00 - ETACS_UR.AE_UF033.DT_UF033       000000 off
03:56:47:102 CMD DBGM     - 151 SD_UF033 0.00.00 - ETACS_UR.AE_UF033.SD_UF033       000000 off
03:56:47:102 CMD DBGM     - 152 AE_UF034 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF034       000000 off
03:56:47:102 CMD DBGM     - 153 DT_UF034 0.00.00 - ETACS_UR.AE_UF034.DT_UF034       000000 off
03:56:47:102 CMD DBGM     - 154 SD_UF034 0.00.00 - ETACS_UR.AE_UF034.SD_UF034       000000 off
03:56:47:102 CMD DBGM     - 155 AE_UF035 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF035       000000 off
03:56:47:102 CMD DBGM     - 156 DT_UF035 0.00.00 - ETACS_UR.AE_UF035.DT_UF035       000000 off
03:56:47:102 CMD DBGM     - 157 SD_UF035 0.00.00 - ETACS_UR.AE_UF035.SD_UF035       000000 off
03:56:47:102 CMD DBGM     - 158 AE_UF036 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF036       000000 off
03:56:47:102 CMD DBGM     - 159 DT_UF036 0.00.00 - ETACS_UR.AE_UF036.DT_UF036       000000 off
03:56:47:102 CMD DBGM     - 160 SD_UF036 0.00.00 - ETACS_UR.AE_UF036.SD_UF036       000000 off
03:56:47:102 CMD DBGM     - 161 AE_UF037 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF037       000000 off
03:56:47:102 CMD DBGM     - 162 DT_UF037 0.00.00 - ETACS_UR.AE_UF037.DT_UF037       000000 off
03:56:47:103 CMD DBGM     - 163 SD_UF037 0.00.00 - ETACS_UR.AE_UF037.SD_UF037       000000 off
03:56:47:103 CMD DBGM     - 164 AE_UF038 0.00.00 - ETAC_Upp.ETACS_UR.AE_UF038       000000 off
03:56:47:103 CMD DBGM     - 165 DT_UF038 0.00.00 - ETACS_UR.AE_UF038.DT_UF038       000000 off
03:56:47:103 CMD DBGM     - 166 SD_UF038 0.00.00 - ETACS_UR.AE_UF038.SD_UF038       000000 off
